,market,pair,trade_price,trade_volume
168,Binance,MCO/BTC,$9046.96,"$4,675,250"
169,Bitcoin Indonesia,BTC/IDR,$9238.87,"$4,632,230"
170,Binance,SNT/BTC,$9262.20,"$4,570,330"
171,Bittrex,LTC/BTC,$9060.43,"$4,538,990"
172,Bittrex,SLS/BTC,$9001.52,"$4,465,540"
173,BTCTurk,BTC/TRY,$9080.29,"$4,442,900"
174,Trade By Trade,BTC/USDT,$9003.41,"$4,436,690"
175,OKEx,SWFTC/BTC,$9136.87,"$4,431,310"
176,Negocie Coins,BTC/BRL,$9468.83,"$4,422,760"
177,Binance,TRIG/BTC,$9070.56,"$4,416,970"
178,YoBit,LSK/BTC,$9216.86,"$4,412,640"
179,Fatbtc,BTC/CNY,$8628.72,"$4,373,690"
180,Huobi,CMT/BTC,$8976.62 ,"$4,343,170"
181,Bitfinex,LTC/BTC,$9066.85,"$4,276,270"
182,OKEx,ICX/BTC,$9061.49,"$4,248,540"
183,Poloniex,XMR/BTC,$9079.29,"$4,237,120"
184,Binance,XVG/BTC,$9039.54,"$4,199,580"
185,OKEx,SNC/BTC,$9127.23,"$4,159,440"
186,Bitstamp,XRP/BTC,$9067.23,"$4,152,910"
187,Bibox,HPB/BTC,$9061.04,"$4,149,110"
188,Huobi,PROPY/BTC,$9060.14,"$4,140,250"
189,OKEx,VIB/BTC,$9055.85,"$4,114,760"
190,Bit-Z,MCO/BTC,$9043.97,"$4,079,100"
191,OKEx,NEO/BTC,$9064.51,"$4,016,350"
192,GDAX,ETH/BTC,$9083.93 ,"$3,976,940"
193,Binance,CND/BTC,$9020.48,"$3,940,330"
194,Bittrex,NEO/BTC,$9084.08,"$3,922,560"
195,Huobi,DGD/BTC,$9065.65,"$3,906,650"
196,Huobi,ITC/BTC,$9049.58,"$3,865,450"
197,WEX,ETH/BTC,$9081.06,"$3,806,980"
198,CoinEgg,QTUM/BTC,$9643.56,"$3,796,350"
199,Bitinka,BTC/ARS,$9377.02,"$3,777,890"
200,BTC Markets,BTC/AUD,$9146.93,"$3,762,520"
201,Huobi,ZEC/BTC,$9069.96,"$3,760,520"
202,Bibox,CPC/BTC,$9039.35,"$3,751,010"
203,QuadrigaCX,BTC/CAD,$9131.12,"$3,739,010"
204,Huobi,BCH/BTC,$9052.32 ,"$3,733,340"
205,HitBTC,XRP/BTC,$9100.70,"$3,720,510"
206,Huobi,ZIL/BTC,$9063.55,"$3,705,790"
207,OKEx,QTUM/BTC,$9181.91,"$3,689,760"
208,OKEx,TRX/BTC,$9119.63,"$3,675,660"
209,Binance,LUN/BTC,$9040.46,"$3,623,460"
210,Huobi,NEO/BTC,$9036.92,"$3,611,380"
211,Bittrex,NBT/BTC,$9195.29,"$3,593,970"
212,Huobi,KNC/BTC,$9048.76,"$3,577,170"
213,Binance,WTC/BTC,$8899.89,"$3,540,160"
214,HitBTC,EOS/BTC,$9052.87,"$3,536,760"
215,OKEx,INS/BTC,$9086.07,"$3,510,380"
216,Binance,REQ/BTC,$9110.31,"$3,494,010"
