,market,pair,trade_price,trade_volume
193,Bittylicious,DOGE/USD,$0.005638,$0
194,Tidex,DOGE/WAVES,$0.003567,$0
195,Trade Satoshi,XBC/DOGE,$0.021659,$0
196,Trade Satoshi,DOT/DOGE,$0.019819,$0
197,C-CEX,ETH/DOGE,$0.003143,$0
198,Trade Satoshi,SAFEX/DOGE,$0.003575,$0
199,Trade Satoshi,KB3/DOGE,$0.003817,$0
200,Trade Satoshi,PIE/DOGE,$0.002064,$0
201,Trade Satoshi,RUP/DOGE,$0.003787,$0
202,Trade Satoshi,SOJ/DOGE,$0.001948,$0
203,C-CEX,OX/DOGE,$0.000482,$0
204,Trade Satoshi,XGOX/DOGE,$0.001537,$0
205,Trade Satoshi,JEW/DOGE,$0.005473,$0
206,CoinExchange,ERA/DOGE,$0.181175,$907
