,market,pair,trade_price,trade_volume
216,Binance,GTO/ETH,$572.66,"$866,815"
217,Stronghold,ETH/BTC,$634.62,"$858,190"
218,Bibox,SXUT/ETH,$572.66,"$846,824"
219,Binance,XMR/ETH,$571.08,"$839,630"
220,WEX,ETH/ZEC,$573.98,"$822,733"
221,Bittrex,ADA/ETH,$592.46,"$821,156"
222,Bibox,KICK/ETH,$582.53,"$817,888"
223,OKEx,R/ETH,$574.25,"$816,126"
224,Zebpay,ETH/INR,$599.00,"$812,980"
225,Bitfinex,MIOTA/ETH,$578.98,"$810,349"
226,xBTCe,ETH/USD,$568.50,"$808,106"
227,Binance,LEND/ETH,$572.77,"$806,746"
228,Kucoin,KICK/ETH,$563.20,"$806,223"
229,Huobi,LUN/ETH,$573.41,"$794,069"
230,EXX,ETH/USDT,$572.02,"$791,314"
231,Bit-Z,MCO/ETH,$570.76,"$788,900"
232,OKEx,NEO/ETH,$571.96,"$784,244"
233,OKEx,INS/ETH,$576.25,"$777,997"
234,Binance,CMT/ETH,$568.95,"$774,842"
235,Binance,BQX/ETH,$572.87,"$773,629"
236,Binance,POE/ETH,$593.63,"$759,028"
237,Binance,BCC/ETH,$574.26,"$750,183"
238,OTCBTC,BTC/ETH,$575.34,"$749,754"
239,Binance,BLZ/ETH,$571.71,"$748,951"
240,Huobi,YEE/ETH,$571.88,"$717,464"
241,Huobi,SWFTC/ETH,$574.41,"$713,355"
242,Huobi,OST/ETH,$572.58,"$702,624"
243,Binance,CND/ETH,$571.31,"$697,364"
244,Bit-Z,BTX/ETH,$569.93,"$684,529"
245,Huobi,APPC/ETH,$572.59,"$683,681"
246,Gemini,ETH/BTC,$569.35," $677,716"
247,xBTCe,ETH/EUR,$573.95,"$677,102"
248,Huobi,CHAT/ETH,$572.75,"$673,176"
249,BX Thailand,ETH/THB,$583.97,"$665,147"
250,Huobi,TNB/ETH,$575.40,"$663,857"
251,Binance,NEBL/ETH,$577.15,"$643,450"
252,Coinnest,ETH/KRW,$521.09,"$628,187"
253,IDEX,MAN/ETH, $575.94,"$627,618"
254,Bancor Network,VEE/ETH,$566.33,"$616,139"
255,Gate.io,EOS/ETH,$577.92,"$607,496"
256,Binance,APPC/ETH,$576.01,"$607,085"
257,Binance,LSK/ETH,$576.05,"$605,138"
258,OKEx,ICX/ETH,$576.50,"$602,845 "
259,xBTCe,ETH/RUB,$532.96,"$600,860"
260,xBTCe,ETH/BTC,$584.19,"$600,201"
261,OKEx,BKX/ETH,$566.53,"$599,770"
262,Independent Reserve,ETH/AUD,$582.33,"$599,305"
263,Huobi,WAX/ETH,$573.77,"$598,996"
264,Binance,WTC/ETH,$566.65,"$596,618"
265,Binance,BCPT/ETH,$575.49,"$595,392"
266,Exmo,ETH/RUB,$548.83,"$589,939"
267,Binance,LUN/ETH,$574.51,"$587,493"
268,Binance,YOYO/ETH,$576.17,"$584,835"
269,OKEx,QTUM/ETH,$580.87,"$584,794"
270,OKEx,IOTA/ETH,$582.06,"$584,224"
271,OKEx,AIDOC/ETH,$574.11,"$576,299"
272,HitBTC,AVH/ETH,$576.33,"$565,824"
273,Binance,RPX/ETH,$569.09,"$564,591"
274,OKEx,SOC/ETH,$576.67,"$564,394"
275,Kucoin,R/ETH,$575.88,"$561,937"
276,Liqui,WINGS/ETH,$571.90,"$558,609"
277,Huobi,ZLA/ETH,$574.81,"$552,310"
278,Koinex,ETH/INR,$590.09,"$551,733"
279,Bibox,BTM/ETH,$570.71,"$548,330"
280,Binance,AST/ETH,$576.72,"$547,761"
281,Bitfinex,NEO/ETH,$572.57,"$545,636"
282,ChaoEX,ZRX/ETH,$571.87,"$542,289 "
283,Binance,GVT/ETH,$575.14,"$541,887"
284,Mr. Exchange,BTC/ETH,$567.15,"$540,157"
285,Coinsquare,ETH/BTC,$576.08,"$537,004"
286,OKEx,BCH/ETH,$573.07,"$532,268"
287,Bibox,EOS/ETH,$575.08,"$529,244"
288,Binance,NULS/ETH,$574.87,"$529,000"
289,Bittrex,NEO/ETH, $574.02,"$522,601"
290,Binance,OST/ETH,$574.87,"$512,959"
291,Allcoin,UGT/ETH,$572.32,"$508,119"
292,Binance,GXS/ETH,$594.76,"$493,636"
293,Binance,WABI/ETH,$574.18,"$490,771"
294,Bittrex,TRX/ETH,$572.82," $483,070"
295,Binance,PPT/ETH,$578.07,"$483,054"
296,Huobi,TNT/ETH,$574.33,"$479,553"
297,Bittrex,XEM/ETH,$581.64,"$475,264"
298,Binance,SUB/ETH,$574.72,"$471,877"
299,OKEx,THETA/ETH,$573.10,"$448,731"
300,DSX,ETH/USD,$568.04,"$446,805"
301,Livecoin,ETH/USD,$573.03,"$445,670"
302,Upbit,ETH/USDT,$573.62,"$439,840"
303,Binance,SALT/ETH,$574.46,"$439,816"
304,Quoine,ETH/USD,$552.01,"$437,776"
305,Bitso,ETH/MXN,$573.26,"$437,666"
306,Bibox,MED/ETH,$571.53,"$436,462 "
307,Binance,QSP/ETH,$575.08,"$436,167"
308,Binance,BNT/ETH,$575.32,"$431,650"
309,ForkDelta,PPT/ETH,$616.35,"$431,397"
310,Bitbank,ETH/BTC,$564.40,"$428,114"
311,Binance,FUEL/ETH,$575.65,"$421,162"
312,Binance,DASH/ETH,$573.23,"$418,249"
313,Bittrex,ANT/ETH,$536.39,"$415,041"
314,Bittrex,XLM/ETH,$570.22,"$413,978"
315,HitBTC,TRX/ETH,$574.00,"$412,290"
316,ChaoEX,ETH/BTC,$571.76,"$411,325"
317,Binance,HSR/ETH,$570.44,"$408,961"
318,Upbit,TRX/ETH,$572.82,"$405,173 "
319,Exmo,ETH/EUR,$582.87,"$404,840"
320,Binance,BTS/ETH,$570.06,"$402,275"
321,EXX,VLC/ETH,$566.10,"$399,257"
322,Qryptos,EZT/ETH,$578.93,"$396,930"
323,Cryptopia,ETH/BTC,$574.75,"$394,030"
324,OKEx,HMC/ETH,$581.49,"$393,151"
325,CEX.IO,ETH/BTC,$573.51,"$389,117"
326,Binance,TNB/ETH,$577.18,"$388,671"
327,IDAX,ETH/BTC,$635.98,"$387,761"
328,IDEX,TRAC/ETH,$572.37,"$385,459"
329,Qryptos,HAV/ETH,$534.59,"$384,384"
330,Binance,FUN/ETH,$573.71,"$379,849"
331,Binance,AE/ETH,$567.05,"$377,793"
332,CoinBene,TCT/ETH,$541.40,"$376,349"
333,Qryptos,LDC/ETH,$543.40,"$376,285"
334,Bittrex,BCC/ETH,$573.43,"$370,072"
335,OKEx,GTC/ETH,$564.40,"$361,316"
336,IDEX,TOMO/ETH,$572.89,"$356,511"
337,Kucoin,POLY/ETH,$573.25,"$356,258"
338,Binance,STRAT/ETH,$578.15,"$355,070"
339,HitBTC,W3C/ETH,$561.57,"$353,710"
340,Binance,ZEC/ETH,$574.62,"$338,425"
341,Exmo,ETH/UAH,$582.18,"$335,999"
342,Mercatox,ETH/BTC,$578.42,"$335,468"
343,Koineks,ETH/TRY,$570.40,"$335,439"
344,Upbit,XRP/ETH,$577.27 ,"$335,408"
345,Binance,AMB/ETH,$589.20,"$334,656"
346,Vebitcoin,ETH/TRY,$581.10,"$331,151"
347,Binance,BTG/ETH,$581.43,"$327,966"
