,market,pair,trade_price,trade_volume
145,DSX,LTC/EUR,$174.41,"$12,646"
146,Bittylicious,LTC/GBP,$173.33,"$12,625"
147,DSX,LTC/GBP,$223.40,"$12,527"
148,Lykke Exchange,LTC/USD,$175.50,"$12,136"
149,DSX,LTC/BTC,$181.06,"$11,392"
150,Trade Satoshi,BTCP/LTC,$170.70,"$11,168"
151,AEX,LTC/BTC,$170.20,"$10,597"
152,BX Thailand,LTC/BTC,$171.06,"$10,553"
153,The Rock Trading,LTC/EUR,$168.23,"$9,985"
154,Braziliex,LTC/BRL,$176.55,"$9,560"
155,Coinroom,LTC/PLN,$178.59,"$9,386"
156,Kucoin,LTC/NEO,$162.03,"$9,026"
157,Bleutrade,LTC/BTC,$168.56,"$8,481"
158,Bit2C,LTC/ILS,$165.84,"$8,316"
159,BTC-Alpha,LTC/BTC,$171.83,"$8,108"
160,Nanex,NANO/LTC,$169.01,"$8,087"
161,OpenLedger DEX,LTC/BITUSD,$186.35,"$7,931"
162,Coinut,ETC/LTC,$171.59,"$7,892"
163,Waves Decentralized Exchange,LTC/WAVES,$172.10,"$7,539"
164,SouthXchange,MLM/LTC,$181.04,"$6,404"
165,BTC Markets,LTC/BTC,$170.92," $6,235"
166,CoinExchange,DOGE/LTC,$167.19,"$6,212"
167,OKCoin.cn,LTC/CNY,$53.78,"$5,945"
168,Waves Decentralized Exchange,LTC/BTC,$173.18,"$5,681"
169,Bitmaszyna,LTC/PLN,$167.44,"$5,624"
170,CoinExchange,LTC/DOGE,$168.49,"$5,246"
171,Bitsane,LTC/BTC,$169.88,"$4,873"
172,Qryptos,LTC/BTC,$172.63,"$4,769"
173,Bitsane,XRP/LTC,$169.70,"$4,155"
174,OpenLedger DEX,LTC/BTS,$179.41,"$3,815"
175,Bits Blockchain,LTC/BTC,$173.46,"$3,183"
176,Tripe Dice Exchange,LTC/BTC,$173.46,"$3,165"
177,TradeOgre,LTC/BTC,$175.48,"$3,004"
178,Iquant,LTC/BTC,$16.70,"$2,898"
179,Bitsane,LTC/USD,$178.78,"$2,524"
180,Independent Reserve,LTC/USD,$178.00,"$2,507"
181,Abucoins,LTC/BTC,$170.06,"$2,432"
182,OpenLedger DEX,LTC/BTC,$183.67,"$2,252"
183,SouthXchange,GCN/LTC,$513.53,"$2,067"
